                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0309,                  2.779,                 1.2346,                0.00392,                0.99123,                0.33252,                0.22595,                0.76202,                 2.9938,                 1.1727,                 0.0838,                 0.0018,                 0.0018
                      1,                0.95126,                 2.2001,                 1.2096,                0.78592,                0.28984,                0.55662,                0.40562,                 0.7476,                 2.6772,                 1.1587,               0.066517,              0.0035168,              0.0035168
                      2,                0.88322,                 1.6176,                 1.1494,                0.82486,                0.33056,                0.67854,                0.50652,                0.80037,                 2.4691,                 1.1808,               0.049046,              0.0050456,              0.0050456
                      3,                0.91512,                 1.5139,                 1.1571,                 0.6966,                0.58409,                0.64239,                0.46431,                0.81807,                 2.0966,                 1.2014,               0.031386,              0.0063862,              0.0063862
                      4,                0.88796,                 1.4161,                 1.1421,                0.66366,                0.57895,                0.65437,                0.45429,                0.93445,                  2.067,                 1.3273,               0.013539,              0.0075388,              0.0075388
                      5,                0.94381,                 1.3614,                  1.175,                 0.7363,                 0.5614,                 0.6534,                0.47571,                0.90751,                 1.8559,                 1.3105,               0.007525,               0.007525,               0.007525
                      6,                0.91275,                 1.3675,                 1.1646,                 0.6708,                0.62281,                0.65499,                0.44634,                 1.0152,                 1.8772,                 1.4647,               0.007525,               0.007525,               0.007525
                      7,                0.94815,                 1.2758,                 1.1994,                0.71306,                0.52632,                0.66106,                 0.4663,                 1.0165,                 1.7768,                  1.403,                0.00703,                0.00703,                0.00703
                      8,                0.91122,                 1.2098,                 1.1689,                0.68162,                0.53509,                0.61986,                0.44233,                 1.0229,                 1.8685,                 1.4558,               0.006535,               0.006535,               0.006535
                      9,                0.97326,                  1.224,                 1.2393,                0.67626,                0.62302,                 0.6852,                0.49722,                0.97125,                 1.6208,                 1.3521,                0.00604,                0.00604,                0.00604
                     10,                0.82953,                 1.0937,                 1.1297,                0.70519,                0.64912,                0.70233,                0.52099,                0.90409,                 1.4988,                 1.2603,               0.005545,               0.005545,               0.005545
                     11,                0.86302,                 1.0931,                 1.1238,                0.68571,                0.67544,                0.71215,                0.52939,                0.89197,                 1.4761,                 1.2856,                0.00505,                0.00505,                0.00505
                     12,                0.85923,                 1.0859,                 1.1261,                0.74141,                0.70423,                0.78019,                0.60134,                0.88155,                 1.2573,                  1.294,               0.004555,               0.004555,               0.004555
                     13,                0.86328,                 1.0506,                 1.1312,                0.74316,                0.71053,                0.77471,                 0.5928,                0.85862,                 1.2668,                 1.2827,                0.00406,                0.00406,                0.00406
                     14,                0.81463,                0.98792,                 1.1161,                0.72304,                0.74561,                0.76359,                0.58085,                0.89678,                 1.2286,                 1.2819,               0.003565,               0.003565,               0.003565
                     15,                0.79325,                0.99487,                 1.0774,                0.87225,                0.71053,                0.82786,                0.63544,                0.81392,                 1.1383,                  1.224,                0.00307,                0.00307,                0.00307
                     16,                 0.7834,                0.92875,                 1.0637,                0.73694,                0.76178,                0.80666,                 0.6342,                0.82118,                 1.1913,                 1.2407,               0.002575,               0.002575,               0.002575
                     17,                0.70534,                0.84844,                 1.0427,                 0.7698,                0.79201,                 0.8331,                0.65082,                0.78586,                 1.1346,                 1.1978,                0.00208,                0.00208,                0.00208
                     18,                0.66285,                0.80548,                 1.0292,                0.75404,                0.80675,                0.84322,                0.66795,                0.75769,                 1.0995,                 1.1555,               0.001585,               0.001585,               0.001585
                     19,                0.74763,                0.82376,                 1.0799,                0.80216,                 0.7807,                0.84961,                0.66485,                0.74047,                 1.0691,                  1.144,                0.00109,                0.00109,                0.00109
